Time, Impact, DeltaQ
1004.0, 59.30313886748601, 139.45697534409112, 
1575.0, 62.67962668051128, 204.47597846570616, 
2303.0, 55.41849460436209, 205.38975905011807, 
2611.0, 81.21077914083992, 303.09399076800446, 
2615.0, 66.97571027646417, 251.99256885512432, 
3413.0, 90.12374070858141, 296.69752667712123, 
4387.0, 203.13832350869382, 421.3231402280656, 
4438.0, 91.91976369518561, 269.49498158732126, 
4448.0, 89.84353822846397, 244.1902884805305, 
4454.0, 83.60875549571777, 239.6916763726566, 
4456.0, 137.36537339764058, 322.2130922264686, 
4643.0, 63.87027959944692, 209.46662627287878, 
4654.0, 61.20657431718694, 196.39253483437025, 
4662.0, 167.6397979802393, 369.3079377307736, 
4679.0, 62.40666200302612, 201.7346367124705, 
4729.0, 88.20826259602062, 268.0891653036106, 
4763.0, 79.1603066197553, 244.8931966223858, 
4765.0, 231.2701877194811, 455.76563917897516, 
4833.0, 66.42050062362478, 256.5614717771837, 
4869.0, 166.62064516256913, 376.33701914932647, 
4892.0, 108.72096716544934, 314.1999394093182, 
5360.0, 53.5098960558165, 185.56774944979867, 
5380.0, 74.78780756474329, 263.16880831062355, 
5403.0, 79.85783854690943, 276.9458078909874, 
5424.0, 74.72117741337742, 249.8135536153729, 
5653.0, 126.02587556460468, 330.57769911454665, 
6321.0, 62.73439580169465, 254.03100246650465, 
11111.0, 74.17210955189194, 274.62621102286494, 
11456.0, 57.38785841041538, 197.16573379041105, 
12507.0, 72.85613894743074, 317.4333168618525, 
15131.0, 58.860750534699655, 264.293461337592, 
15830.0, 70.35480267053029, 302.2505009977781, 
16050.0, 69.14311489472806, 236.3880081059367, 
16737.0, 82.34136137249068, 282.49878221164425, 
17966.0, 59.22352968958806, 235.1930642647827, 
18057.0, 186.24880863776716, 407.68672227607277, 
18093.0, 137.53924230513132, 414.7158036946258, 
18098.0, 143.58255264280987, 433.4834510821622, 
18101.0, 142.31602615755088, 424.55651768059994, 
18105.0, 142.78275396997694, 441.7777671560547, 
18108.0, 58.03206707949487, 209.5369170870643, 
18112.0, 162.57819617420387, 478.0478272757881, 
18116.0, 71.23615166896876, 246.50988534865297, 
18119.0, 142.1339588694793, 400.65764085751977, 
18229.0, 138.98937014120295, 421.7448851131787, 
18235.0, 128.41699758369904, 397.1431001482433, 
18287.0, 69.2298777975694, 254.3121657232468, 
18333.0, 109.07729801971087, 379.3595241593043, 
18362.0, 90.22445388841193, 315.95720976395637, 
18399.0, 161.2474014670306, 460.40483291522014, 
18421.0, 163.9639338889511, 479.2427711169421, 
18507.0, 54.47819533306199, 243.48738033867522, 
18556.0, 130.59810582471601, 390.2546003580614, 
18557.0, 78.66854075452615, 264.9260786652618, 
18559.0, 112.93468287151153, 348.85331080278434, 
18576.0, 94.04388977070691, 326.71170433434247, 
18579.0, 151.36395658075574, 409.8657375158242, 
18644.0, 116.156297740706, 450.98586381435916, 
22460.0, 62.08903547917891, 254.87449223673104, 
22542.0, 117.35422699668354, 367.4100857477642, 
22544.0, 70.54441558332526, 266.26160413478686, 
23081.0, 117.60300477945863, 402.83665609727126, 
23744.0, 92.08710690015288, 356.09326466389393, 
23764.0, 96.07743697933637, 360.9433308426955, 
23787.0, 119.63761905619616, 440.09078761560204, 
23790.0, 96.74640956647775, 360.9433308426955, 
23818.0, 61.68976318064064, 285.521287221622, 
23822.0, 58.83405791233828, 251.35995152745454, 
23826.0, 134.9700618265912, 501.4546683995695, 
24153.0, 61.16625029389646, 213.61378430982504, 
24173.0, 162.43977981596197, 519.9411525303639, 
24181.0, 165.14502396323118, 519.9411525303639, 
24203.0, 150.81228122274393, 508.2728773755659, 
24220.0, 158.0804976810791, 526.9702339489169, 
24222.0, 157.32020196706515, 518.4650454324677, 
24230.0, 104.8261128436085, 361.013621656881, 
24233.0, 155.4864245159751, 494.4255869810166, 
24236.0, 163.75473447972766, 526.9702339489169, 
24962.0, 169.33185091741433, 469.6129295735246, 
25168.0, 129.09382891973917, 527.3216880198445, 
25173.0, 98.38017354484388, 376.4073099635121, 
25193.0, 135.41124782915006, 508.6243314464936, 
25224.0, 142.16295284823593, 560.7098247579712, 
25227.0, 124.65089795127541, 454.6409861520067, 
25292.0, 142.23822682493733, 580.6724159866617, 
25332.0, 98.40491085409634, 384.20959033810584, 
25462.0, 105.90315372177608, 379.42981497348984, 
25553.0, 92.479003646196, 334.2328214521942, 
25562.0, 90.69485596138092, 329.6639185301347, 
25566.0, 78.98780504408029, 294.86996550829747, 
28276.0, 103.13639890940631, 378.2348711323358, 
29021.0, 52.15808613459624, 202.43754485432578, 
29032.0, 147.62394399168153, 507.56996923371065, 
29329.0, 60.473888996413294, 240.53516614288296, 
29590.0, 61.90597500423301, 247.70482918980701, 
29804.0, 105.41718848299976, 375.35294775072913, 
30112.0, 69.24536654719502, 358.9751880455006, 
30177.0, 76.66410038307977, 393.6285594389669, 
30209.0, 77.52472420022647, 393.6285594389669, 
30380.0, 104.25664133367079, 445.22201705114566, 
30439.0, 75.9893164334897, 386.59947802041387, 
31118.0, 111.85217494471277, 458.78814418895297, 
31326.0, 117.53260295475766, 498.1510001328496, 
31954.0, 93.213731902519, 416.5433648634496, 
32186.0, 72.21081888828796, 375.00149367980146, 
32297.0, 56.08152103138417, 323.337745253437, 
32308.0, 56.90247349956626, 323.337745253437, 
32318.0, 58.32055161612951, 330.36682667199, 
32332.0, 73.24443999940429, 380.6247588146439, 
32358.0, 69.78892234174079, 375.98556507839885, 
34316.0, 132.31332006607053, 529.781866516338, 
